אֵב	ev
אָבֹב	avov
אֲבַגְתָא	avagta
אָבַד	avad
אָבֵד	aved
אִבֵּד	ibed
אֲבֵדָה	aveda
אֲבַדּוֹן	avadon
אָבְדָּן	ovdan
אָבְדָּנִי	ovdani
אָבָה	ava
אִבּוּד	ibud
אֵבוּז	evuz
אֲבוֹי	avoy
אִבּוּל	ibul
אֶבוֹלוּצְיָה	evolutzya
אִבּוּלִים	ibulim
אֵבוּס	evus
אָבוֹת	avot
אֲבוֹתֵיכֶם	avotechem
אַבְזָקָא	avzaka
אַבְזָר	avzar
אִבְזֵר	ivzer
אֻבְזַר	uvzar
אִבְחָה	ivkha
אִבְחוּן	ivkhun
אִבְחֵן	ivkhen
אֻבְחַן	uvkhan
אֶבְטַח	evtakh
אֻבְטַח	uvtakh
אַב־טִיפּוּס	av tipus
אָבִי	avi
אָבִי	avi
אָבִיב	aviv
אָבִּיגָ'אן	abidjan
אֲבִיהֶן	avihen
אֲבִי הָעֶזְרִי	avi haezri
אָבִיךְ	avich
אָבִיךָ	avicha
אַבִּיר	abir
אַבִּירִים	abirim
אֲבִישָׁלוֹם	avishalom
אֹבֶךְ	ovekh
אָבַל	aval
אֲבָל	aval
אֶבֶן	even
אַבְנֵט	avnet
אַבְנֵטִים	avnetim
אַבְנֵר	avner
אָבַס	abas
אַבְּסוּרְד	absurd
אֲבַעְבּוּעוֹת רוּחַ	avabuot ruakh
אָבָק	avak
אֶבֶק	evek
אַבְקָה	avka
אַבְקָן	avkan
אָבַר	avar
אֵבֶר	ever
אַבְרָהָם	avraham
אַבְרָם	avram
אַבְשָׁלוֹם	avshalom
אֲבֹתֵיכֶם	avotechem
אֲבֹתָם	avotam
אַגַּב	agav
אֲגֻדַּת	agudat
אֲגוּדָל	agudal
אֱגוֹז	egoz
אֱגוֹז אֲדָמָה	egoz adama
אֲגַם	agam
אַגַּן יַם תִּיכוֹן	agan yam tichon
אַגָּס	agas
אָגַר	agar
אֶגרוֹף	egrof
אִגְרוּף	igruf
אִגֶּרֶת חוֹב	igeret khov
אֵד	ed
אָדוֹן	adon
אַדִּיר	addir
אֲדִישׁוּת	adishut
אָדָם	adam
אָדֹם	adom
אֹדֶם	odem
אֲדָמָה	adama
אַדְמַת	admat
אֲדֹנָי	adonai
אֲדֹנָי	adonay
אֵדֶר	eder
אַדְּרַבָּא	adraba
אַדְּרַבָּה	adraba
אַדְרִיכָל	adrikhal
אָדַשׁ	adash
אָהַב	ahav
אַהֲבָה	ahava
אָהוּב	ahuv
אֶהְיֶה	ehye
אָהַל	ahal
אָהָל	ahal
אִהֵל	ihel
אַהֲרֹן	aharon
אוֹ	o
אוֹבָלִי	ovali
אוֹגוּסְט	ogust
אוֹהֵב	ohev
אוֹהָיוֹ	ohayo
אַוָּז	avaz
אוּזְבֶּקִית	uzbekit
אֲוָזוֹן	avazon
אוֹחַ	oakh
אוֹטוֹבּוּסִים	otobusim
אוּטוֹפְּיָה	utopiya
אוֹיֵב	oyev
אוֹי וַאֲבוֹי	oy vaavoy
אֲוִירוֹן	aviron
אוּלַי	ulai
אוֹלִיגַרְךְ	oligarkh
אוֹלִימְפִּי	olimpi
אוֹמֵן	omen
אוֹמֵר	omer
אוֹמְרִים	omrim
אוֹן	on
אוּנִיבֶרְסִיטָה	universita
אוֹנֵנה	onena
אוננים	unanim
אוֹסְטְרַלְיָה	ostralya
אוֹסְטְרָלִית	ostralit
אוֹפָה	ofa
אוֹפֶה	ofe
אוֹפּוֹזִיצְיָה	opozitsya
אוֹפַן	ofan
אוֹפַנּוֹעִים	ofanoim
אוֹפַנַּיִם	ofanayim
אוֹפּצִיָה	optzia
אוֹצָר	otsar
אוֹצֵר	otser
אוֹקְטוֹבֶּר	oktober
אוֹקֵי	okey
אוֹקְיָנוֹס הַקֶּרַח הַצְּפוֹנִי	okyanos hakerakh hatsfoni
אוּקְרָאִינָה	ukraina
אוֹר	or
אוֹרְגַּזְמָה	orgazma
אוֹרְגַּזְמוֹת	orgazmot
אוֹרְגָּנִיזְם	organizm
אוֹרְגָּנִיזַצְיָה	organizatzya
אוֹרָה	ora
אוּרִי	uri
אוּרַנְיוּם	uranyum
אוֹתָהּ	otah
אוֹתִי	oti
אוֹתִיּוֹת	otiyot
אוֹתֵת	otet
אָז	az
אֵזוֹר	ezor
אִזְכֵּר	izker
אֻזְכַּר	uzkar
אִזְמֵל	izmel
אֹזֶן	ozen
אֶזְרָח	ezrakh
אֶזְרָחוּת	ezrakhut
אֶזְרָחִי	ezrakhi
אָח	akh
אָח	akh
אַחַד עָשָׂר	akhad asar
אַחֲוָה	akhava
אָחוּז	akhuz
אֲחוּזִים	akhuzim
אִחוּר	ikhur
אָחוֹת	akhot
אָחַז	akhaz
אַחְזָקָה	akhzaka
אָחִי	akhi
אָחִיו	achiv
אֲחָיוֹת	akhayot
אַחִים	akhayim
אַחְיָנִית	akhyanit
אַחְלָמָה	akhlama
אַחַר	achar
אַחֵר	acher
אִחֵר	icher
אַחֲרוֹן	acharon
אַחֲרַי	akharay
אַחֲרֵי	akhare
אַחֲרָיוּת	akharayut
אַחֵרִים	akherim
אַחַר כָּךְ	akhar kakh
אַחַר־כָּךְ	akhar-kakh
אֲחֹתוֹ	achoto
אַחַת עֶשְׂרֵה	akhat esre
אַט אַט	at at
אָטוֹם	atom
אָטוֹמִי	atomi
אֵטִימוֹלוֹגְיָה	etimologya
אִטְלִיז	itliz
אֵי	e
אִי	i
אֵיבָר	eivar
אִידֵאָל	ideal
אִידִישָׁאִי	idisai
אַיָּה	aya
אַיָּה	aya
אַיֵּה	aye
אַיּוֹ	ayo
אִיּוּם	iyum
אִיזֶבֶל	izevel
אֵיזֶה	eize
אֵיזוֹ	eizo
אִיחוּד	ikhud
אִיטַלְקִי	italki
אִיִּים	iyim
אֵיךְ	eykh
אֵיכוּת	eikhut
אִיכְתִּיּוֹלוֹגְיָה	ikhtiyolohiya
אַיָּל	ayal
אַיִל	ayil
אֱיָל	eyal
אֱיָל	eyal
אֵילִים	elim
אִילָן	ilan
אִילָנוֹת	ilanot
אִילָנֵי	ilane
אֵילַת	eilat
אִיֵּם	iyem
אִימוּנוֹלוֹגְיָה	imunologia
אֵימָתַי	eimatay
אֵין	ein
אֵין דָּבָר הָעוֹמֵד בִּפְנֵי הָרָצוֹן	ein davar haomed bfnei haratzon
אֵין דִּין וְאֵין דַּיָּן	ein din vein dayan
אֵין דִּין וְאֵין דַּיָּן	ein din vein dayan
אֵין מַצָּב	en matsav
אֵין עָשָׁן בְּלִי אֵשׁ	ein ashan bli esh
אִינְדּוֹנֶזְיָה	indonezya
אִינְדּוֹנֶזִית	indonezit
אֵינָהּ	einah
אִינְטֶלִיגֶנְטִי	inteligenti
אִינְטֶלִיגֶנְצְיָה	inteligentsya
אִינְטֶלִיגֶנְצְיָה מְלָאכוּתִית	inteligentsya melakhutit
אִינְטֶרְנֶט	internet
אֵינֵךְ	einekh
אֵינָם	einam
אֵינָן	einan
אֵינְסוֹף	einsof
אֵינְסוֹפִי	einsofi
אִינְפוֹרְמַצְיָה	informatsya
אִינְפְלַצְיָה	inflatsya
אֵיפֹה	eifo
אִירָאנִי	irani
אֵירוֹפָּה	eiropa
אִישּׁוּר	ishur
אִישִׁי	ishi
אִישִׁיּוּת	ishiyut
אִיֵּת	iyet
אֻיַּת	uyat
אַכַּד	akad
אִכְזֵב	ikhzev
אַכְזָבָה	akhzava
אִכֵּל	ikel
אֹכֶל	okhel
אֻכָּל	ukal
אָכְלָה	okhla
אֶל	el
אֶלָּא	ela
אָלְבּוּמִים	albumim
אַלְבָּנִי	albani
אַלְבַּנְיָה	albanya
אֱלֹהַי	elohai
אֱלֹהֵיך	eloheykh
אֱלֹהֵיכֵם	eloheykhem
אֱלֹהִים	elohim
אֲלֵהֶם	alehem
אֵלָו	elav
אֵלּוּ	elu
אִלּוּ	ilu
אֱלוֹהַּ	eloah
אֱלוּל	elul
אָלוּמִינְיוּם	aluminyum
אַלּוֹן	alon
אַלּוּנְקָה	alunka
אִלּוּץ	iluts
אַלְטֶע זַאכֶן	alte zakhen
אֱלֵי	ele
אֱלִי	eli
אֵלִי	eli
אֻלַי	ulay
אֵלֶיהָ	eleha
אֵלִיָּהוּ	eliyahu
אֲלֵיהֶם	alehem
אֲלֵיהֶן	alehen
אֵלָיו	elav
אֵלַיִךְ	elayikh
אֲלֵיכֶם	alechem
אֱלִיעֶזֶר	eliezer
אֱלִישֶׁבַע	elisheva
אֵלְכָה	elchaattention
אַלְכּוֹהוֹל	alkohol
אַלְכִּימְיָה	alkimia
אִלֵּם	ilem
אֻלָם	ulam
אַלְמָנָה	almana
אַלְמְנוּת	almnut
אֶלְעָד	elad
אָלֶ״ף	alef
אָלֶף	alef
אֶלֶף	elef
אִלֵּף	ilef
אֲלָפִים	alafim
אֶלֶקְטְרוֹן	elektron
אֱלֹקִים	elokim
אַל־רֵיחַ	al-reakh
אֵם	em
אִם	im
אֵם קְרִיאָה	em kria
אָמַד	amad
אַמָּה	ama
אַמְהָרִית	amharit
אֵמוּן	emun
אֱמוּנָה	emuna
אֱמוּנָתְךָ	emunatkha
אִמּוּץ	imuts
אָמוֹק	amok
אֲמִירָה	amira
אָמֵן	amen
אָמָּן	oman
אֻמַּן	uman
אֻמָּן	uman
אַמְנוֹן	amnon
אַמְנוּן	amnun
אָמָּנוּת	omanut
אֻמָּנוּת	umanut
אָמָּנוּת הַבָּמָה	omanut habama
אָמָּנוּת עַכְשָׁוִית	omanut akhshavit
אֱמֻנַת	emunat
אַמְסְטֶרְדָּם	amsterdam
אָ‏מְפֵּ‏רְסָ‏נְד	ampersand
אֶמְפַּתְיָה	empatia
אִמֵּץ	imets
אֹמֶץ	omets
אָמַר	amar
אֹמֶר	omer
אָמֶרִיקָאִי	amerikai
אֶמֶשׁ	emesh
אֱמֶת	emet
אֲמִתִּי	amiti
אָנָאלִי	anali
אַנְגְּלִית	anglit
אָנָּה	ana
אָנָה	ana
אָנוּ	anu
אָנוֹכִיּוּת	anochiyut
אָנוֹנִימִי	anonimi
אָנוּס	anus
אִנּוּס	inus
אֱנוֹשׁ	enosh
אֱנוֹשׁוּת	enoshut
אֱנוֹשִׁי	enosh
אֶנְזִים	enziym
אֲנַחְנוּ	anakhnu
אַנְטִיבְּיוֹטִיקָה	antibyotika
אַנְטְרֶקוֹט	antrekot
אֲנִי	ani
אֲנִי לֹא מְדַבֵּר אַנְגְּלִית	ani lo medaber anglit
אֲנִי לֹא מְדַבֵּר עִבְרִית	ani lo medaber ivrit
אֲנִי־עֶלְיוֹן	ani-elyon
אני צריך מפה	ani tsarikh mapa m
אני צריך מפה של העיר	ani tsarikh mapa shel hair m
אני צריכה מפה	ani tsrikha mapa f
אָנֹכִי	anochi
אָנֹכִי	anokhi
אָנָנָס	ananas
אַנָּס	anas
אֹנֶס	ones
אֶנְצִיקְלוֹפֶּדְיוֹת	entsiklopedyot
אַנְשֵׁי	anshe
אֲנָשִׁים	anashim
אָסָא	asa
אָסוֹן	ason
אָסוּר	asur
אִסּוּר	isur
אֶסְטוֹנִית	estonit
אַסְטְרוֹפִיזִיקָה	astrofiziqa
אַסְטְרָטֶגְיָה	astrategiya
אָסִימְפְּטוֹטָה	asimptota
אָסִיר	asir
אסלאם סוני	islam suni
אִסְלָאמִי	islami
אָסַף	asaf
אֹסֶף	osef
אֲסֵפָה	asefa
אַסְפִּירִין	aspirin
אָסֻרָה	asura
אֶסְתֵּר	ester
אֶעֱלֶה	eele
אַף	af
אַף־עַל־פִּי	af al pi
אָפָה	afa
אפ׳חד	afkhad
אֶפְחַד	efkhad
אַפִּיפְיוֹר	apifyor
אֲפִיקוֹמָן	afikoman
אֲפִלּוּ	afilu
אַפְּלִיקַצְיָה	aplikatsya
אָפְנָה	ofna
אֶפֶס	efes
אָפָּצִ׳י	apachi
אַפְּצִ׳י	apchi
אֹפֶק	ofek
אָפְקִי	ofki
אָפְקִיּוּת	ofkiyut
אֶפְרוֹחַ	efroakh
אַפְּרִיל	april
אֶפְרַיִם	efrayim
אַפְרִיקָה	afrika
אפרסקים	afarsekim
אֲפַרְפַּר	afarpar
אֶפְרָת	efrat
אִפְשֵׁר	ifsher
אָפַּתְיָה	apatia
אָץ	ats
